ID;SPANISH;ENGLISH
start_button;Comenzar visita;Start Visit
planetarium_name;Planetario;Planetarium
mode_button;Modo;Mode
;;
mercurio_nombre;Mercurio;Mercury
mercurio_info_0;MESSENGER fue una nave que viajó muy lejos para dar vueltas alrededor de Mercurio y mirarlo de cerca. Descubrimos que no era solo una bola gris y caliente, sino que tenía montañas, cráteres enormes e incluso hielo escondido en lugares donde nunca llega la luz del Sol. Gracias a esta misión sabemos cómo es realmente el planeta que está más cerca del Sol.;MESSENGER was a spacecraft that travelled very far to go around Mercury and look at it up close. We discovered that it wasn’t just a hot grey ball, but a place with mountains, giant craters and even ice hidden in spots where sunlight never reaches. Thanks to this mission, we now know what the closest planet to the Sun is really like.
mercurio_info_1;MESSENGER fue una sonda de la NASA que orbitó por primera vez Mercurio y reveló que es un mundo mucho más complejo de lo que creíamos. Encontró hielo en los polos, un campo magnético extraño y señales de que el planeta se ha ido encogiendo a lo largo del tiempo. Con sus mapas y mediciones, transformó nuestra imagen de Mercurio de un planeta “muerto” y monótono a un lugar lleno de actividad geológica pasada y misterios por resolver.;MESSENGER was a NASA probe that orbited Mercury for the first time and revealed that it is a much more complex world than we expected. It found ice at the poles, a strange magnetic field and evidence that the planet has been shrinking over time. With its maps and measurements, it changed our idea of Mercury from a “dead” and monotonous planet to a place full of past geological activity and unanswered questions.
mercurio_info_2;MESSENGER proporcionó el primer estudio orbital completo de Mercurio, mostrando un campo magnético desplazado hacia el norte y una corteza comprimida por una fuerte contracción térmica global. Detectó compuestos volátiles en cráteres polares en sombra perpetua y caracterizó una composición superficial rica en elementos inesperados como azufre y potasio. Sus datos obligaron a replantear modelos de formación planetaria y de evolución térmica del núcleo metálico, convirtiendo a Mercurio en un laboratorio natural para entender los planetas interiores.;MESSENGER provided the first complete orbital study of Mercury, showing a magnetic field shifted toward the north and a crust compressed by strong global thermal contraction. It detected volatile compounds in permanently shadowed polar craters and mapped a surface composition rich in unexpected elements such as sulfur and potassium. Its data forced a reevaluation of planetary formation models and the thermal evolution of metallic cores, turning Mercury into a natural laboratory for understanding inner planets.
;;
;;
